FieldSite,Location,Date,Year,GroupSize,Context,ContextType,CallerName,SndFile_orig,Tape,Track,ElapsedTime,S.M.SoundFile,MultipleCallConfiguration,SndFile,ContextTypeNew,Fam,tape_track,sequence_group,context_group,SndFile_mod
Amboseli,Ol Tukai Orok,8/26/99,1999,20,Affiliative,greeting,Echo,B3413057,34,11,13057,Single,NA,B3413057.wav,Greeting,EB,1999-08-26_34_11,102,102_Greeting,001_B3413057.wav
Amboseli,Ol Tukai Orok,8/26/99,1999,20,Affiliative,greeting,Erin,B3413115,34,11,13115,Multiple,MultipleOverlappingCalls,B3413115.wav,Greeting,EB,1999-08-26_34_11,102,102_Greeting,002_B3413115.wav
Amboseli,Ol Tukai Orok,8/26/99,1999,20,Affiliative,little greeting,Echo,B3413256,34,11,13256,Multiple,TwoOverlappingCalls,B3413256.wav,Little greeting,EB,1999-08-26_34_11,102,102_Little greeting,001_B3413256.wav
Amboseli,Ol Tukai Orok,8/26/99,1999,20,Movement Space & Leadership,contact,Edwina,B3415400,34,14,15345,Single,NA,B3415400.wav,Contact,EB,1999-08-26_34_14,103,103_Contact,001_B3415400.wav
Amboseli,Ol Tukai Orok,8/26/99,1999,20,Movement Space & Leadership,contact,Erin,B3415407,34,14,15358,Single,NA,B3415407.wav,Contact,EB,1999-08-26_34_14,103,103_Contact,002_B3415407.wav
Amboseli,Ol Tukai Orok,8/26/99,1999,20,Movement Space & Leadership,contact,Edwina,B3415520,34,14,15520,Single,NA,B3415520.wav,Contact,EB,1999-08-26_34_14,103,103_Contact,003_B3415520.wav
Amboseli,Ol Tukai Orok,8/26/99,1999,20,Movement Space & Leadership,contact,Edwina,B3415557,34,14,15557,Single,NA,B3415557_B3415609_part1.wav,Contact,EB,1999-08-26_34_14,103,103_Contact,004_B3415557_B3415609_part1.wav
Amboseli,Ol Tukai Orok,8/26/99,1999,20,Movement Space & Leadership,contact,Erin,B3415608,34,14,15606,Multiple,TwoOverlappingCalls,B3415608_B3415609_part2.wav,Contact,EB,1999-08-26_34_14,103,103_Contact,005_B3415608_B3415609_part2.wav
Amboseli,Ol Tukai Orok,8/29/99,1999,40,Affiliative,little greeting,Erin,B3703520,37,6,3518,Single,NA,B3703520_part1.wav,Little greeting,EB,1999-08-29_37_6,106,106_Little greeting,001_B3703520_part1.wav
Amboseli,Ol Tukai Orok,8/29/99,1999,40,Affiliative,little greeting,Echo,B3703520,37,6,3520,Single,NA,B3703520_part2.wav,Little greeting,EB,1999-08-29_37_6,106,106_Little greeting,002_B3703520_part2.wav
