conversation_id,context_type,rumble_number,logpow_band1,logpow_band2,logpow_band3,logpow_band4,logpow_band5,logpow_band6,logpow_band7,logpow_band8,logpow_band9,logpow_band10,logpow_band11,logpow_band12,logpow_band13,logpow_band14,logpow_band15,logpow_band16,logpow_band17,logpow_band18,logpow_band19,logpow_band20,logpow_band21,logpow_band22,logpow_band23,logpow_band24,logpow_band25,logpow_band26,logpow_band27,logpow_band28,logpow_band29
102_Greeting,Greeting,1,-19.55,-18.87,-23.37,-26.16,-36.82,-39.21,-42.78,-45.19,-37.47,-33.06,-30.82,-32.71,-38.80,-41.57,-45.53,-49.79,-50.79,-51.82,-49.42,-52.14,-53.06,-54.39,-54.38,-55.21,-56.46,-55.71,-56.39,-55.30,-57.38
102_Greeting,Greeting,2,-24.13,-27.27,-14.21,-29.37,-25.90,-30.99,-31.96,-33.65,-35.18,-33.16,-36.85,-34.40,-35.65,-34.48,-32.28,-35.22,-36.59,-40.39,-41.43,-43.71,-44.96,-45.40,-46.09,-45.28,-47.52,-47.64,-48.53,-49.05,-48.75
102_Greeting,Greeting,3,-20.19,-20.80,-14.64,-15.59,-28.32,-27.42,-34.80,-35.11,-33.65,-34.47,-36.41,-35.94,-35.68,-36.58,-38.11,-39.80,-38.77,-41.05,-42.47,-47.00,-45.52,-46.68,-47.38,-48.38,-46.91,-47.15,-47.42,-52.04,-52.63
103_Contact,Contact,1,-23.49,-20.13,-16.65,-18.94,-17.66,-22.08,-28.24,-26.18,-25.00,-27.61,-27.36,-27.04,-26.49,-29.47,-29.50,-28.49,-30.83,-31.99,-30.51,-34.28,-34.16,-34.19,-34.27,-32.51,-32.86,-37.48,-36.28,-36.84,-37.53
103_Contact,Contact,2,-25.45,-22.75,-16.60,-22.94,-24.07,-32.76,-38.39,-39.57,-32.82,-32.31,-29.19,-37.34,-37.74,-45.01,-42.50,-47.87,-45.43,-50.91,-50.11,-53.80,-53.58,-52.71,-48.79,-54.85,-56.26,-63.22,-64.49,-65.80,-66.31
103_Contact,Contact,3,-27.46,-24.32,-16.96,-19.95,-31.77,-31.39,-32.67,-35.72,-36.35,-34.73,-37.23,-39.15,-36.71,-37.10,-33.01,-38.67,-38.00,-38.61,-39.88,-42.63,-41.74,-43.77,-41.78,-42.50,-42.83,-43.66,-44.37,-45.64,-44.22
103_Contact,Contact,4,-24.29,-20.90,-15.27,-20.69,-28.59,-28.65,-29.31,-33.16,-32.45,-31.19,-31.79,-33.67,-33.63,-35.53,-33.26,-36.02,-36.64,-38.45,-38.37,-39.03,-38.23,-39.54,-39.56,-40.31,-40.60,-40.87,-40.24,-42.15,-41.66
103_Contact,Contact,5,-19.29,-12.66,-19.57,-23.23,-34.77,-33.60,-37.74,-41.40,-43.20,-36.27,-31.55,-34.41,-39.93,-46.21,-49.90,-53.18,-51.52,-50.36,-52.27,-55.08,-59.43,-55.68,-54.54,-56.03,-54.79,-59.17,-59.01,-59.02,-62.95
103_Contact,Contact,6,-18.18,-20.78,-13.72,-23.79,-26.26,-37.18,-39.23,-32.94,-33.54,-33.56,-37.43,-37.82,-40.87,-41.66,-38.61,-43.86,-45.25,-48.92,-47.01,-46.63,-48.41,-50.60,-55.81,-56.36,-57.99,-57.53,-59.46,-60.41,-58.43
107_Greeting,Greeting,1,-24.37,-16.77,-17.16,-25.12,-29.45,-33.69,-29.23,-26.00,-22.31,-19.26,-24.66,-25.37,-28.40,-33.36,-37.35,-40.85,-44.03,-44.59,-41.65,-45.34,-47.24,-46.33,-42.47,-47.92,-51.63,-53.40,-51.53,-47.47,-52.14
